Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
84587,BEXA,S48V14A-AU,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84587,SENZU,S48V14A-AU,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84587,SENZU,SU48SE-V14AAU,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84587,SENZU,SU48SE-V14ANZ,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84592,SONIQ,S40V14A-AU,S40V14A-AU,"Australia,New Zealand",China,101.609,4411.6164,LCD (LED),,,,55.8,,,240.0,Approved,2019-09-30,,Single product class,Available,4.0,,,4.08245937694464,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1089
84592,SONIQ,S40V14A-NZ,S40V14A-AU,"Australia,New Zealand",China,101.609,4411.6164,LCD (LED),,,,55.8,,,240.0,Approved,2019-09-30,,Single product class,Available,4.0,,,4.08245937694464,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1089
84601,SHARP,LC-60LE660X,,"Australia,Fiji,New Zealand",Malaysia,152.493,9936.3516,LCD (LED),0.28,23.06,0.5,107.73,,,399.0,Approved,2019-10-29,,Single product class,Available,5.0,http://www.sharp.net.au/,,5.08812018602099,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1148
84602,SHARP,LC-70LE660X,,"Australia,Fiji,New Zealand",Malaysia,176.572,13321.584,LCD (LED),0.25,21.86,0.5,126.79,,,469.0,Approved,2019-10-29,,Single product class,Available,5.5,http://www.sharp.net.au/,,5.60201217842458,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1147
84669,TEAC,LEDV2816FV,,"Fiji,New Zealand",China,69.866,2096.100006,LCD (LED),0.42,0.0,0.0,32.0,7.0,7.52428565644714,119.0,Approved,2114-09-29,,Single product class,Available,4.5,,http://www.teac.co.nz,4.52,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0205
84670,TEAC,LEDV1916FV,,"Fiji,New Zealand",China,47.013,944.1792,LCD (LED),0.41,0.0,0.0,22.2,6.0,6.70563056744227,84.0,Approved,2114-09-29,,Single product class,Available,3.5,,http://www.teac.co.nz,3.7,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0204
