Record ID,Status,Brand Name,Model Number,Family Name,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL,Availability Status,Expiry Date,Star Image Large,Star Image Small
115575,Approved,KOGAN,KAMN49F14UHL*,KAMN49F14UHL*,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115575,Approved,KOGAN,KAMN49F14UHLA,KAMN49F14UHL*,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115575,Approved,KOGAN,KAMN49F14UHLB,KAMN49F14UHL*,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115575,Approved,KOGAN,KAMN49F14UHLC,KAMN49F14UHL*,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115575,Approved,KOGAN,KAMN49F14UHLD,KAMN49F14UHL*,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115620,Approved,DELL,SE2219H,"SE2219H, SE2219HX","Australia,Fiji,New Zealand",China,54.621,LCD,55.0,0.2,6.42345369816675,6.0,,,Available,2023-07-23,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115620,Approved,DELL,"SE2219H, SE2219HX","SE2219H, SE2219HX","Australia,Fiji,New Zealand",China,54.621,LCD,55.0,0.2,6.42345369816675,6.0,,,Available,2023-07-23,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115620,Approved,DELL,SE2219HX,"SE2219H, SE2219HX","Australia,Fiji,New Zealand",China,54.621,LCD,55.0,0.2,6.42345369816675,6.0,,,Available,2023-07-23,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115628,Approved,DELL,P2419HC,,"Australia,Fiji,New Zealand",China,60.468,LCD (LED),62.0,0.23,6.49598503564629,6.0,,,Available,2023-07-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115688,Approved,BenQ,XL2411,,"Australia,Fiji,New Zealand",China,60.969,LCD (LED),133.0,0.45,3.12650381730621,3.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-08-09,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
115690,Approved,BenQ,RL2455,RL2455HM,,China,60.969,LCD (LED),99.0,0.42,4.44955024346732,4.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115690,Approved,BenQ,RL2455HM,RL2455HM,,China,60.969,LCD (LED),99.0,0.42,4.44955024346732,4.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115690,Approved,BenQ,RL2455HME,RL2455HM,,China,60.969,LCD (LED),99.0,0.42,4.44955024346732,4.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115690,Approved,BenQ,RL2455S,RL2455HM,,China,60.969,LCD (LED),99.0,0.42,4.44955024346732,4.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115690,Approved,BenQ,RL2455T,RL2455HM,,China,60.969,LCD (LED),99.0,0.42,4.44955024346732,4.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115690,Approved,BenQ,RL2455TS,RL2455HM,,China,60.969,LCD (LED),99.0,0.42,4.44955024346732,4.0,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115692,Approved,BenQ,BL2410,BL2410PT,"Australia,New Zealand",China,60.969,LCD (LED),95.0,0.18,4.63437726755629,4.5,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115692,Approved,BenQ,BL2410PE,BL2410PT,"Australia,New Zealand",China,60.969,LCD (LED),95.0,0.18,4.63437726755629,4.5,http://www.benq.com.au/,http://benqshop.com.au/,Available,2023-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
